127.0.0.1 - - [29/Apr/2018:16:44:30 +0000] "POST /wp-cron.php?doing_wp_cron=1525020268.0016551017761230468750 HTTP/1.1" 499 0 "http://fictional-university.local/wp-cron.php?doing_wp_cron=1525020268.0016551017761230468750" "WordPress/4.9.5; http://fictional-university.local"
127.0.0.1 - - [29/Apr/2018:16:45:13 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/events/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:17:15:02 +0000] "GET / HTTP/1.0" 200 13069 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:17:15:05 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:17:15:07 +0000] "GET /campuses/ HTTP/1.0" 404 6094 "http://fictional-university.local/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:17:15:07 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/campuses/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:43:46 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:43:48 +0000] "GET / HTTP/1.0" 200 13069 "http://fictional-university.local/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:43:48 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:43:57 +0000] "GET /wp-login.php HTTP/1.0" 200 2887 "http://fictional-university.local/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:43:57 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/wp-login.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:43:58 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:44:00 +0000] "GET /programs/ HTTP/1.0" 404 6094 "http://fictional-university.local/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:44:00 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/programs/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:44:09 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:45:50 +0000] "GET /wp-admin/ HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:45:50 +0000] "GET /wp-login.php?redirect_to=http%3A%2F%2Ffictional-university.local%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 2887 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:45:50 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/wp-login.php?redirect_to=http%3A%2F%2Ffictional-university.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:45:55 +0000] "POST /wp-login.php HTTP/1.0" 302 0 "http://fictional-university.local/wp-login.php?redirect_to=http%3A%2F%2Ffictional-university.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:45:57 +0000] "GET /wp-admin/ HTTP/1.0" 200 56803 "http://fictional-university.local/wp-login.php?redirect_to=http%3A%2F%2Ffictional-university.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:45:58 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/wp-admin/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:45:59 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 1432 "http://fictional-university.local/wp-admin/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:46:01 +0000] "GET /wp-admin/admin-ajax.php?action=dashboard-widgets&widget=dashboard_primary&pagenow=dashboard HTTP/1.0" 200 671 "http://fictional-university.local/wp-admin/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:46:03 +0000] "GET /wp-admin/edit.php HTTP/1.0" 200 55475 "http://fictional-university.local/wp-admin/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:46:03 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://fictional-university.local/wp-admin/edit.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:46:03 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/wp-admin/edit.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:46:04 +0000] "GET /wp-admin/edit-tags.php?taxonomy=post_tag HTTP/1.0" 200 37601 "http://fictional-university.local/wp-admin/edit.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:46:05 +0000] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=hoverIntent,common,admin-bar,wp-ajax-response,admin-tags,wp-a11y,inline-edit-tax,svg-painter,heartbeat,wp-auth-check&ver=4.9.5 HTTP/1.0" 200 15085 "http://fictional-university.local/wp-admin/edit-tags.php?taxonomy=post_tag" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:46:05 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/wp-admin/edit-tags.php?taxonomy=post_tag" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:46:05 +0000] "GET /wp-admin/edit.php?post_type=page HTTP/1.0" 200 62882 "http://fictional-university.local/wp-admin/edit-tags.php?taxonomy=post_tag" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:46:06 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://fictional-university.local/wp-admin/edit.php?post_type=page" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:46:06 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/wp-admin/edit.php?post_type=page" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:46:07 +0000] "GET /wp-admin/edit.php?post_type=professor HTTP/1.0" 200 30693 "http://fictional-university.local/wp-admin/edit.php?post_type=page" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:46:07 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://fictional-university.local/wp-admin/edit.php?post_type=professor" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:46:07 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/wp-admin/edit.php?post_type=professor" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:46:09 +0000] "GET /wp-admin/edit.php?post_type=program HTTP/1.0" 200 30773 "http://fictional-university.local/wp-admin/edit.php?post_type=professor" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:46:09 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://fictional-university.local/wp-admin/edit.php?post_type=program" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:46:09 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/wp-admin/edit.php?post_type=program" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:46:24 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://fictional-university.local/wp-admin/edit.php?post_type=program" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:46:43 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://fictional-university.local/wp-admin/edit.php?post_type=program" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:46:58 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://fictional-university.local/wp-admin/edit.php?post_type=program" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:47:13 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://fictional-university.local/wp-admin/edit.php?post_type=program" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:47:28 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://fictional-university.local/wp-admin/edit.php?post_type=program" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:47:43 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://fictional-university.local/wp-admin/edit.php?post_type=program" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:47:58 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://fictional-university.local/wp-admin/edit.php?post_type=program" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:48:13 +0000] "GET /wp-admin/users.php HTTP/1.0" 200 36003 "http://fictional-university.local/wp-admin/edit.php?post_type=program" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:48:13 +0000] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=hoverIntent,common,admin-bar,svg-painter,heartbeat,wp-auth-check&ver=4.9.5 HTTP/1.0" 200 12541 "http://fictional-university.local/wp-admin/users.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:48:13 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/wp-admin/users.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:48:15 +0000] "GET /wp-admin/users.php HTTP/1.0" 200 36003 "http://fictional-university.local/wp-admin/users.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:48:15 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/wp-admin/users.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:48:37 +0000] "GET / HTTP/1.0" 200 21032 "http://fictional-university.local/wp-admin/users.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:48:38 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:48:40 +0000] "GET /campuses/ HTTP/1.0" 404 7199 "http://fictional-university.local/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:48:40 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/campuses/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:49:16 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://fictional-university.local/wp-admin/users.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:51:17 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://fictional-university.local/wp-admin/users.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:53:18 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://fictional-university.local/wp-admin/users.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:55:19 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://fictional-university.local/wp-admin/users.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:19:57:20 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://fictional-university.local/wp-admin/users.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:20:55:22 +0000] "GET / HTTP/1.0" 200 21032 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:20:55:23 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:20:55:25 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://fictional-university.local/wp-admin/users.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:20:55:31 +0000] "GET /campuses/ HTTP/1.0" 404 7199 "http://fictional-university.local/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:20:55:31 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/campuses/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:20:58:36 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:20:58:44 +0000] "GET /wp-admin/ HTTP/1.0" 200 58726 "http://fictional-university.local/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:20:58:45 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/wp-admin/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:20:58:47 +0000] "GET /wp-admin/options-general.php HTTP/1.0" 200 65158 "http://fictional-university.local/wp-admin/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:20:58:48 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/wp-admin/options-general.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:20:59:02 +0000] "GET /wp-admin/plugins.php HTTP/1.0" 200 46979 "http://fictional-university.local/wp-admin/options-general.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:20:59:02 +0000] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=hoverIntent,common,admin-bar,underscore,wp-util,wp-a11y,updates,jquery-ui-core,thickbox,plugin-install,svg-painter,heartbeat,wp-&load%5B%5D=auth-check&ver=4.9.5 HTTP/1.0" 200 34396 "http://fictional-university.local/wp-admin/plugins.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:20:59:02 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/wp-admin/plugins.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:20:59:05 +0000] "GET /wp-admin/plugins.php?action=activate&plugin=advanced-custom-fields%2Facf.php&plugin_status=all&paged=1&s&_wpnonce=6b49c8e809 HTTP/1.0" 302 0 "http://fictional-university.local/wp-admin/plugins.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:20:59:06 +0000] "GET /wp-admin/plugins.php?activate=true&plugin_status=all&paged=1&s= HTTP/1.0" 200 48313 "http://fictional-university.local/wp-admin/plugins.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:20:59:06 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://fictional-university.local/wp-admin/plugins.php?plugin_status=all&paged=1&s" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
127.0.0.1 - - [29/Apr/2018:20:59:08 +0000] "GET /wp-admin/plugins.php?action=activate&plugin=manual-image-crop%2Fmanual-image-crop.php&plugin_status=all&paged=1&s&_wpnonce=91db61a0d6 HTTP/1.0" 302 0 "http://fictional-university.local/wp-admin/plugins.php?plugin_status=all&paged=1&s" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
